21,30,38,266663
59,79,94,266662
6,9,14,266940
0,0,0,1139999
4,7,11,1139997
33,46,57,1139998
38,52,66,1265675
8,12,19,293911
87,117,138,1145213
230,304,348,1217803
4,7,12,487850
12,18,25,487851
29,40,51,487849
6,10,18,1241954
72,97,115,487578
5,8,14,1180131
9,13,20,445814
53,72,86,445813
14,21,28,1152538
5,7,12,529882
28,39,49,444827
98,130,152,1152537
47,63,77,1153388
31,43,53,1156349
62,83,99,1156350
9,14,21,1156351
0,0,0,1218547
0,0,0,767289
52,69,83,719310
74,99,118,1170849
14,20,27,460419
16,23,31,1170196
29,39,49,467177
137,182,210,1168656
0,0,0,1170796
5,8,13,451886
133,176,204,474088
99,132,153,446726
4,7,12,517967
62,84,100,447396
27,37,48,447395
106,141,165,477955
9,14,20,450086
15,21,31,1265674
4,6,11,1170102
8,12,18,1170104
155,206,238,1263100
0,0,0,1170103
9,14,20,451984
172,228,263,1190555
90,120,141,451812
0,0,0,451820
75,101,118,453642
89,119,140,1219748
32,44,56,1172723
30,41,54,480626
15,22,29,372193
53,72,89,480148
6,10,17,1172719
6,9,17,458240
82,110,130,1172718
12,18,26,452411
34,46,56,1172738
7,11,17,273797
4,7,11,1172737
29,40,51,385624
78,104,121,1236035
12,17,22,1172739
34,47,58,272898
19,27,35,272961
7,10,15,293927
141,187,217,1175036
49,67,83,1175035
25,34,43,297645
72,96,112,294718
70,94,111,293926
12,18,26,1174926
240,316,361,1174927
11,16,23,1185757
82,110,129,1185756
4,7,13,1186585
100,134,158,515574
43,59,71,1185755
27,38,49,1219747
0,0,0,455479
2,4,7,1187623
8,12,17,1205447
35,48,58,454630
10,15,21,456184
28,38,49,456816
7,11,18,456817
69,92,109,470059
108,144,170,1192531
3,5,9,458063
46,63,76,577389
6,9,15,372391
26,36,45,577387
6,10,16,457905
11,17,24,1219749
27,37,46,460746
5,9,14,460745
16,23,31,461348
185,245,283,464291
54,73,88,513323
20,27,36,463599
115,153,177,464275
8,13,19,464215
61,82,99,528184
14,20,27,1239945
96,128,151,551163
147,194,225,520330
5,8,15,1223989
4,7,13,523290
12,17,25,522521
