1023967,2402,95
948777,2165,94.66
249346,2022,93.51
1130570,1945,98.63
620333,1722,98.74
830448,1701,98.76
1044903,1573,99.18
946877,1541,98.43
1330572,1532,97.2
426449,1530,97.67
548945,1512,97.26
519314,1493,96
1122860,1491,98.44
1145470,1459,98.3
1083969,1446,98.69
865899,1422,98.96
831951,1415,96.82
553820,1407,99.08
667031,1379,97.45
323070,1358,93.92
319886,1322,97.35
664217,1318,98.55
794499,1315,98.43
923665,1273,99.12
1017155,1268,99.08
392261,1264,96.79
1006238,1210,97.34
451993,1209,97.3
1023966,1204,98.26
831204,1182,89.98
690909,1174,99.24
329213,1164,97.55
530560,1164,96.89
819892,1159,97.55
873670,1149,94.1
545590,1147,98.27
338759,1102,99.02
773126,1099,98.82
973284,1071,98.62
1210523,1068,99.92
983833,1064,98.48
488955,1050,93.56
322132,1040,96.8
442103,1034,97.85
559471,1023,98.11
505562,1020,97.43
259497,1019,96.5
938896,1016,99.72
681992,1008,99.57
981294,992,99.71
228210,959,99.38
687730,946,99.33
382545,944,97.29
741749,938,99.71
462733,924,98.41
687323,918,99.43
829262,915,99.52
399215,905,98.08
591311,891,98.12
1074472,877,99.1
1130571,844,99.86
1063562,833,99.67
1023967,2402,95
948777,2165,94.66
249346,2022,93.51
1130570,1945,98.63
620333,1722,98.74
830448,1701,98.76
1044903,1573,99.18
946877,1541,98.43
1330572,1532,97.2
426449,1530,97.67
548945,1512,97.26
519314,1493,96
1122860,1491,98.44
1145470,1459,98.3
1083969,1446,98.69
865899,1422,98.96
831951,1415,96.82
553820,1407,99.08
667031,1379,97.45
323070,1358,93.92
319886,1322,97.35
664217,1318,98.55
794499,1315,98.43
923665,1273,99.12
1017155,1268,99.08
392261,1264,96.79
1006238,1210,97.34
451993,1209,97.3
1023966,1204,98.26
831204,1182,89.98
690909,1174,99.24
329213,1164,97.55
530560,1164,96.89
819892,1159,97.55
873670,1149,94.1
545590,1147,98.27
338759,1102,99.02
773126,1099,98.82
973284,1071,98.62
1210523,1068,99.92
983833,1064,98.48
488955,1050,93.56
322132,1040,96.8
442103,1034,97.85
559471,1023,98.11
505562,1020,97.43
259497,1019,96.5
938896,1016,99.72
681992,1008,99.57
981294,992,99.71
228210,959,99.38
687730,946,99.33
382545,944,97.29
741749,938,99.71
462733,924,98.41
687323,918,99.43
829262,915,99.52
399215,905,98.08
591311,891,98.12
1074472,877,99.1
1130571,844,99.86
1063562,833,99.67
1023967,2169,93.71
249346,1984,92.7
1130570,1890,96.85
830448,1697,98.45
620333,1662,97.24
1330572,1547,97.69
519314,1546,97.31
426449,1541,97.97
1044903,1495,97.17
946877,1495,97.41
1122860,1472,97.85
1145470,1423,97.61
1083969,1386,97.59
865899,1386,97.68
548945,1380,95.67
553820,1374,98.36
667031,1359,97.12
831951,1343,95.68
319886,1336,97.61
392261,1315,97.72
794499,1299,97.98
664217,1274,97.94
923665,1263,99.03
323070,1260,93.32
1006238,1254,98.42
329213,1211,99.11
1017155,1209,97.38
451993,1202,96.91
1023966,1182,97.64
690909,1163,98.68
530560,1139,96.4
819892,1130,96.94
545590,1127,97.31
338759,1123,99.69
873670,1116,94.31
773126,1100,98.73
983833,1084,99.07
1210523,1064,99.7
442103,1037,97.91
488955,1031,93.53
973284,1030,97.41
559471,1029,98.4
505562,1018,98.12
259497,1012,96.28
938896,1006,99.25
322132,1005,95.94
681992,999,99.3
981294,992,99.7
415541,979,97.78
196931,975,96.85
228210,946,99.01
687730,941,99.08
741749,938,99.78
462733,918,97.65
687323,915,99.52
417910,897,98.84
399215,896,97.55
829262,896,98.66
568463,890,98.92
600533,886,98.77
382545,885,95.92
1074472,866,98.57
464731,861,98.91
720559,847,96.88
1063562,833,99.72
1130571,832,99.44
1122862,823,99.63
782904,802,98.83
365902,793,98.91
257529,792,97.94
1006237,779,99.57
454176,773,96.94
948777,2198,95.58
249346,1989,93.45
1130570,1941,98.48
830448,1726,99.38
620333,1721,98.68
519314,1560,97.25
426449,1544,97.94
1044903,1543,98.41
946877,1536,97.62
548945,1512,96.98
831951,1444,97.32
1083969,1422,98.24
553820,1416,99.33
865899,1413,98.69
323070,1399,94.66
667031,1398,97.56
319886,1358,98.12
392261,1333,98.63
664217,1317,98.27
794499,1310,98.35
923665,1272,99.3
1006238,1250,98.58
451993,1213,97.18
690909,1180,99.31
329213,1156,97.14
530560,1148,97.16
545590,1147,98.09
819892,1126,96.94
338759,1121,99.44
773126,1093,98.62
983833,1078,99.07
322132,1065,97.03
442103,1060,98.78
259497,1043,97.2
559471,1033,98.88
505562,1030,98.55
938896,1008,99.28
681992,1007,99.5
981294,991,99.7
382545,955,97.53
687730,940,99.2
399215,918,98.76
687323,916,99.56
829262,911,99.29
600533,904,99.7
720559,883,98.16
365902,791,99.11
515837,768,99.78
417467,740,99.63
219360,695,99.94
258212,691,99.67
769275,686,99.5
530559,656,99.23
543414,636,99.83
320008,634,99.89
351985,621,99.49
245086,592,99.53
249346,1819,90.83
1130570,1807,95.82
1023967,1794,91.45
830448,1652,97.69
620333,1650,97.27
426449,1512,96.81
519314,1476,96.26
1122860,1459,97.22
946877,1440,96.34
865899,1381,97.38
1044903,1376,95.69
553820,1361,97.48
1083969,1344,96.59
319886,1343,97.58
548945,1298,93.65
1145470,1296,95.87
831951,1276,94.64
664217,1264,97.2
794499,1261,96.89
923665,1252,98.44
1006238,1238,98.11
392261,1225,95.93
1017155,1201,96.74
323070,1194,92.56
329213,1176,97.38
690909,1170,99.19
1023966,1130,96.58
451993,1120,94.97
819892,1097,96.01
545590,1096,96.51
773126,1092,98.64
983833,1062,98.28
1210523,1061,99.5
873670,1030,93.05
973284,1025,97.08
938896,995,98.82
505562,987,96.4
681992,983,98.88
259497,980,95.16
687730,926,98.52
687323,914,99.18
720559,870,97.75
464731,865,99.01
972694,831,97.18
1130571,827,99.09
1122862,791,98.21
1006237,774,99.52
831953,758,99.18
819891,703,98.37
1022275,694,98.98
391015,682,97.93
946876,679,98.84
1044900,664,98.85
557819,663,98.28
795406,649,98.17
1083968,632,99.35
