21,30,38,266663,2.442,0.503
59,79,94,266662,3.425,0.438
6,9,14,266940,1.565,0.526
9,14,20,1139999,1.824,0.435
4,7,11,1139997,1.331,0.513
33,46,57,1139998,2.819,0.316
38,52,66,1265675,2.885,0.326
227,300,344,1263478,5.27,0.136
8,12,19,293911,1.655,0.441
87,117,138,1145213,3.828,0.224
230,304,348,1217803,5.29,0.211
4,7,12,487850,1.403,0.615
12,18,25,487851,2.003,0.52
29,40,51,487849,2.683,0.557
6,10,18,1241954,1.484,0.332
72,97,115,487578,3.629,0.482
5,8,14,1180131,1.463,0.499
9,13,20,445814,1.806,0.459
53,72,86,445813,3.303,0.407
14,21,28,1152538,2.124,0.463
5,7,12,529882,1.401,0.539
28,39,49,444827,2.667,0.464
98,130,152,1152537,4.016,0.453
47,63,77,1153388,3.155,0.376
31,43,53,1156349,2.752,0.394
117,156,181,1264210,4.225,0.329
62,83,99,1156350,3.457,0.442
9,14,21,1156351,1.818,0.331
15,22,31,1271991,2.1,0.326
80,107,128,1218547,3.72,0.272
142,188,218,767289,4.508,0.221
54,73,89,1271990,3.263,0.24
52,69,83,719310,3.275,0.44
74,99,118,1170849,3.651,0.261
14,20,27,460419,2.103,0.509
6,9,16,1272429,1.462,0.356
16,23,31,1170196,2.173,0.42
29,39,49,467177,2.693,0.513
137,182,210,1168656,4.461,0.235
6,9,15,1170796,1.516,0.453
5,8,13,451886,1.426,0.498
133,176,204,474088,4.449,0.367
99,132,153,446726,4.056,0.394
4,7,12,517967,1.296,0.463
62,84,100,447396,3.469,0.407
27,37,48,447395,2.625,0.41
106,141,165,477955,4.11,0.406
153,203,235,1297386,4.622,0.362
9,14,20,450086,1.824,0.505
15,21,31,1265674,2.062,0.27
4,6,11,1170102,1.266,0.428
8,12,18,1170104,1.706,0.482
155,206,238,1263100,4.641,0.278
20,28,36,1170103,2.385,0.474
9,14,20,451984,1.801,0.597
172,228,263,1190555,4.804,0.118
90,120,141,451812,3.882,0.408
37,50,62,451820,2.907,0.524
75,101,118,453642,3.689,0.355
151,200,232,1294968,4.602,0.355
89,119,140,1219748,3.885,0.219
32,44,56,1172723,2.756,0.289
30,41,54,480626,2.656,0.436
15,22,29,372193,2.179,0.474
53,72,89,480148,3.244,0.274
6,10,17,1172719,1.578,0.446
6,9,17,458240,1.454,0.463
