
107,142,164,271986


15,22,29,1140002


4,6,11,1140000


54,72,87,1140001


82,110,129,446059


9,14,21,446060


95,127,150,369539


28,39,51,294291


166,220,255,1144249


20,29,40,444027


8,12,21,444028


66,89,106,1145469


169,224,257,1145468


0,0,0,1145471


371,487,552,1145470


5,8,14,1145460


32,44,55,445208


94,125,146,445209


9,13,19,445210


17,24,31,445455


116,153,177,445454


5,8,13,445452


51,69,83,445453


4,7,13,702153


59,78,93,507675


115,152,176,701223


13,18,25,693779


260,343,389,505562


30,41,51,1168843


9,14,20,1168844


63,84,100,1168833


51,69,83,448352


3,5,10,448354


135,179,206,498730


16,23,31,448351


94,125,146,516758


107,142,165,387055


14,21,28,372544


150,198,228,272808


91,122,143,270831


51,68,82,272853


13,18,26,293925


10,14,19,297644


109,144,167,301708


11,16,23,458797


35,48,59,385623


4,7,12,468796


0,0,0,468795


162,214,247,453646


0,0,0,455528


9,13,20,465093


35,47,58,465094


84,112,131,465095


73,98,116,387054


7,10,16,457907


74,99,117,577393


29,40,51,577391


45,61,74,503981


140,185,213,475557


12,17,23,462117


237,312,356,462733


161,213,245,378209


120,160,186,534336


37,51,64,512361


5,8,14,512363


215,284,325,464731


362,475,539,553820


12,18,26,512362


110,146,170,465223


7,11,18,465224


47,63,77,465222


10,15,24,299540


78,105,125,299539


4,7,12,465238


64,86,102,465239


14,20,27,465241


30,42,52,465237


188,248,284,565759


13,19,26,477241


76,102,120,467380


28,38,47,467379


10,15,21,378210


5,8,14,468308


15,22,30,468307


15,22,30,548049


12,17,24,547755


16,23,31,549643


4,6,11,470050


80,107,126,470651


30,41,53,470652


5,8,14,491976


9,13,20,491376


150,198,229,636199


12,17,23,282292


200,264,303,477041


53,71,85,282293


15,22,32,296633


27,38,51,302184


5,9,16,304889


11,16,24,270923


166,219,251,282294


4,6,12,479486


30,42,53,479488


74,99,117,479487


220,291,334,600533


180,238,273,479490


9,14,21,479489


75,100,118,519068


9,13,19,519162


22,30,39,481056


0,0,0,654041


20,28,39,654040


84,112,133,481701


23,32,43,485423


7,11,18,484143


4,6,12,484692


15,22,29,488039


2,4,8,488037


27,37,47,375135


65,87,105,296897


80,107,126,521516


34,46,57,489828


10,15,22,503829


190,251,288,490116


21,30,40,490117


113,150,176,423819


9,14,21,495304


30,42,52,494083


86,114,133,498671


0,0,0,530546


155,205,236,530559


55,74,89,530561


304,400,454,530560


5,8,14,530558


113,150,174,298849


42,57,69,298848


115,153,176,302266


43,58,72,531488


22,31,41,521572


0,0,0,515361


23,32,42,270858


13,20,28,811360


169,224,256,509575


63,85,102,609857


288,380,432,545590


6,10,16,545592


119,158,184,545589


35,48,60,545591


4,7,14,511109


7,12,20,511078


18,27,37,511077


3,6,11,307489


24,34,44,299839


10,14,22,302501


39,54,68,299840


11,16,24,515839


49,66,80,515838


183,242,277,515837


11,17,24,375661


4,7,12,516724


41,55,68,375660


115,152,176,532104


11,16,23,516726


42,56,68,516725


0,0,0,538044


415,545,616,519314


13,18,25,529847


147,194,223,533623


62,83,98,536713


20,28,37,531890


9,13,19,527080


5,8,13,525838


64,86,102,522454


49,67,81,579497


134,177,204,523169


11,17,24,585169


4,7,12,375659


16,22,30,1004247


10,14,21,376080


6,10,15,1007313


0,0,0,375818


63,85,100,375819


0,0,0,375817


135,178,206,375820


158,208,238,543414


69,92,109,543947


24,34,43,544293


10,14,21,545060


3,6,11,375821


8,12,19,554276


48,65,79,554275


16,23,32,554274


0,0,0,554277


5,8,14,303259


11,16,24,305111


130,172,199,550049


12,18,25,549112


48,65,79,551749


3,6,11,556969


0,0,0,556971


62,83,99,556970


34,47,58,303417


88,117,137,303311


7,11,17,303312


125,166,191,393752


0,0,0,557820


49,66,81,557813


172,227,262,557819


139,183,212,559470


12,18,25,559472


266,350,399,559471


76,102,120,569712


0,0,0,657048


18,25,33,391195


93,123,144,387460


51,68,82,309121


13,18,26,309122


0,0,0,564613


34,47,59,564612


12,17,24,564614


62,83,102,377379


238,313,358,568463


0,0,0,571519


9,13,20,571520


106,141,164,655579


12,17,24,581299


121,160,185,578595


35,48,60,578593


5,9,16,326680


29,40,52,274407


12,18,27,275486


67,90,107,273738


122,163,188,273455


2,4,9,322155


62,83,100,304343


26,35,46,321045


7,10,17,304344


284,375,427,322132


77,103,122,580853


0,0,0,589245


31,42,52,589421


0,0,0,874799


35,47,59,871035


0,0,0,379001


48,65,79,436089


12,17,25,874759


172,228,262,435628


88,118,139,1144310


13,19,27,1144311


4,7,13,1052328


221,292,335,591311


43,58,72,1052329


30,41,52,666013


72,97,115,660965


0,0,0,660966


149,197,228,381605


419,551,623,620333


45,61,74,651668


0,0,0,646681


11,17,24,646688


361,474,537,667031


142,188,218,666539


17,25,33,305643


4,7,13,305954


52,70,84,307303


123,163,189,305675


26,36,46,347753


14,21,29,748747


0,0,0,748748


29,40,50,654875


15,22,29,628503


3,6,11,628499


3,5,10,1029377


8,12,18,396011


131,174,201,1023965


35,48,60,628501


90,120,140,1025646


49,65,79,981292

